省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
湖北,2020-03-26 10:54:18,3431,67801,61201,3169,0,0
香港,2020-03-26 10:54:18,300,410,106,4,24,0
台湾,2020-03-26 10:54:18,204,235,29,2,19,0
北京,2020-03-26 10:54:18,154,565,403,8,6,0
上海,2020-03-26 10:54:18,116,451,330,5,18,0
广东,2020-03-26 10:54:18,100,1444,1336,8,11,0
福建,2020-03-26 10:54:18,32,328,295,1,6,0
澳门,2020-03-26 10:54:18,21,31,10,0,1,0
浙江,2020-03-26 10:54:18,20,1243,1222,1,2,0
内蒙古,2020-03-26 10:54:18,14,89,74,1,12,0
甘肃,2020-03-26 10:54:18,13,136,121,2,0,0
天津,2020-03-26 10:54:18,11,147,133,3,0,0
山东,2020-03-26 10:54:18,10,769,752,7,0,0
江苏,2020-03-26 10:54:18,9,640,631,0,2,0
陕西,2020-03-26 10:54:18,8,253,242,3,3,0
四川,2020-03-26 10:54:18,8,547,536,3,0,0
云南,2020-03-26 10:54:18,4,178,172,2,2,0
河南,2020-03-26 10:54:18,3,1275,1250,22,1,0
河北,2020-03-26 10:54:18,3,319,310,6,0,0
黑龙江,2020-03-26 10:54:18,2,484,469,13,0,0
重庆,2020-03-26 10:54:18,2,578,570,6,0,0
山西,2020-03-26 10:54:18,2,135,133,0,1,0
吉林,2020-03-26 10:54:18,2,95,92,1,1,0
广西,2020-03-26 10:54:18,2,254,250,2,0,0
辽宁,2020-03-26 10:54:18,1,127,124,2,0,0
江西,2020-03-26 10:54:18,1,936,934,1,0,0
贵州,2020-03-26 10:54:18,0,146,144,2,0,0
西藏,2020-03-26 10:54:18,0,1,1,0,0,0
海南,2020-03-26 10:54:18,0,168,162,6,0,0
新疆,2020-03-26 10:54:18,0,76,73,3,0,0
青海,2020-03-26 10:54:18,0,18,18,0,0,0
宁夏,2020-03-26 10:54:18,0,75,75,0,0,0
湖南,2020-03-26 10:54:18,0,1018,1014,4,0,0
安徽,2020-03-26 10:54:18,0,990,984,6,0,0
